CustomerID,CustomerName,Gender,Age
1,Neil Lester,Male,49
2,Andrew Acevedo,Female,56
3,Howard Roach,Male,49
4,Michael Anderson,Male,21
5,Jennifer Coleman,Male,47
6,Elijah Valencia,Female,54
7,Heather Garcia,Male,40
8,Sandra Foster,Male,56
9,Miss Alison Gamble,Male,32
10,Scott Baker,Female,46
11,Toni Wilson,Male,53
12,John Miller,Male,30
13,Dr. Emily Robertson,Male,49
14,Tina Phelps,Male,24
15,Adrian Bishop,Female,39
16,Leslie Baker,Male,45
17,Christopher Gentry,Female,19
18,Kimberly Pugh,Female,59
19,Mr. Robert Young,Female,23
20,Jacob Reyes,Male,45
21,Brittany Smith,Female,45
22,Laurie Martin,Male,37
23,Mr. Brad Bailey PhD,Female,47
24,Jacob Garcia,Female,28
25,Curtis Acosta,Female,45
26,Jamie Rowland,Female,42
27,John Clark,Female,56
28,Angela Moore,Female,50
29,Spencer Mcdonald,Female,18
30,William Smith,Female,44
31,Alex Williams,Male,30
32,Allison Alvarado,Male,58
33,Emily Williams,Female,20
34,Scott Brown,Female,56
35,Amy Gordon,Female,23
36,Michael Gilbert,Male,25
37,Lisa Medina,Female,44
38,Sheryl Baker,Male,26
39,Sarah Bush,Male,54
40,Samantha Irwin,Male,50
41,Kathleen Franco,Male,59
42,Katrina Jones,Male,41
43,Laura Garcia,Female,32
44,Paul Oneill,Female,49
45,Ryan Soto,Female,49
46,Kelsey Green,Female,41
47,Brittany Serrano,Female,58
48,Becky Moore,Male,29
49,Diane Williams,Female,56
50,Sarah Velasquez,Female,19
51,Anthony Meyer,Male,20
52,Charles Harris,Female,54
53,Andrea Gray,Male,34
54,Ashley Williams,Female,19
55,Brady Medina,Male,19
56,Paula Vega,Female,45
57,Christopher Miller,Female,40
58,Nicole Haney,Male,54
59,Deborah Taylor,Male,49
60,Barbara Thompson,Male,50
61,Katie Ramos,Male,18
62,David Jensen,Male,36
63,Tracy Castro,Male,19
64,Susan Tucker,Male,43
65,Christopher Ruiz,Male,49
66,Joshua Cruz,Female,23
67,Gregory Moore,Female,49
68,Amanda Schultz,Male,21
69,Ruth Wang,Female,28
70,Vanessa Gardner,Female,34
71,Michaela Colon,Female,55
72,Christopher Travis,Female,41
73,Cameron Barton,Male,22
74,Charles Brown,Female,51
75,Jeremy Lee,Male,23
76,Joseph West,Female,39
77,Thomas Cook,Female,28
78,Christopher Frey,Female,33
79,Edwin Knight,Male,50
80,Alexis Mitchell,Female,26
81,Jennifer Chen,Male,23
82,Cheryl Tyler,Female,33
83,Sharon Hancock,Male,46
84,Carlos Hill,Female,20
85,Karen Wilson,Male,37
86,Christopher Clark,Male,53
87,Dennis Paul,Female,36
88,Logan Lewis,Male,43
89,Kathleen Brown,Female,20
90,Francisco Cameron,Female,36
91,Richard Ramos,Female,37
92,Kayla Reese,Female,49
93,Monica Porter DDS,Female,24
94,Jennifer Reynolds,Female,58
95,Kristin Ferguson,Female,50
96,Glenn Kirby,Female,57
97,Jason Booker,Female,56
98,Robert Gardner,Female,35
99,Courtney Holland,Female,57
100,Wendy Ford,Male,18
101,Sharon Brown,Male,28
102,Kyle Marquez,Female,45
103,Joshua Young,Female,42
104,Kelly Wheeler,Female,40
105,Randy Ellis,Female,48
106,Thomas Costa,Female,47
107,Patrick Olson,Female,59
108,Brian Bowen,Female,52
109,Anita Sherman,Female,24
110,Louis Miller,Male,33
111,Angela Mills,Female,43
112,Amanda Medina,Male,19
113,Sandy Flowers,Female,18
114,Kim Moss,Female,29
115,Steven Weber,Male,22
116,Christopher Lambert,Female,54
117,Todd King,Male,49
118,David Brown,Female,26
119,Christopher Wilson,Female,58
120,Joseph Wallace,Male,52
121,Shawn Simpson,Female,36
122,Miguel Smith,Male,33
123,Tanya Barnett,Female,20
124,Jeffrey Gallegos,Male,37
125,Kaylee Newman,Male,41
126,Christopher Waters,Female,50
127,Cheryl Taylor,Female,41
128,Janet Wells,Male,28
129,Lisa Bean,Female,25
130,Cathy Johnson,Female,53
131,Kelly Taylor,Female,55
132,Roger Fuller,Male,57
133,Ross Wood,Male,37
134,Mary Fox,Male,52
135,Samantha Wolfe,Male,42
136,Samuel Anderson,Male,52
137,Antonio Cochran,Male,42
138,Karen Young,Male,46
139,Lisa Chambers,Male,35
140,Shannon Kennedy MD,Male,35
141,Amanda Robinson,Female,19
142,Greg Foley,Male,52
143,Kevin Pittman,Female,33
144,Beverly Mclaughlin,Female,58
145,Samuel Mccarthy,Female,53
146,Charles Hill,Male,50
147,Maria Fuentes,Male,21
148,Melissa Powers,Male,50
149,Jacob Yates,Male,31
150,Sherry Green,Female,38
151,Julian Scott,Male,37
152,Amanda Fisher,Male,25
153,Ashley Thomas,Male,24
154,Jodi Steele,Male,20
155,Amber Davis,Male,34
156,Jessica Payne,Female,50
157,Christopher Peterson,Male,29
158,Melanie Hall,Female,39
159,Cynthia Stuart,Male,39
160,John Thompson,Female,47
161,Dawn Gonzalez,Male,55
162,Lee Taylor,Male,55
163,Jeffery Smith,Female,25
164,Jennifer Horton,Female,44
165,Heather Torres,Female,44
166,John Fleming,Male,51
167,Rebecca Morris,Female,38
168,Susan Miller,Male,47
169,Deanna Henry,Male,50
170,Charles Richards,Female,45
171,Jack Lewis,Female,50
172,Rachel Moore,Male,22
173,Deanna Walton,Male,36
174,Casey Greer,Female,21
175,Edward Mcgee,Female,52
176,Maxwell Nash,Female,34
177,Jessica Russell,Male,45
178,Christina Hess,Male,47
179,Robert Powell,Male,46
180,Tanya Henry,Male,23
181,Tammy Osborn MD,Male,52
182,Leah Maldonado,Male,58
