CustomerKey,CustomerName,Phone,Email,City,CustomerTier,RegistrationDate
1,Kimberly Allen,592-750-2694x954,mgay@example.net,Fullerfurt,Silver,20-03-2023
2,Brittany Mack,001-525-692-4665x7759,christopher94@example.net,Curtisland,Silver,24-03-2024
3,,(567)521-5494x7601,leah29@example.com,Barkerland,,22-02-2024
4,Cody Bryant,866-273-3546,jillianwaters@example.com,Monicaberg,Gold,29-10-2025
5,Alexander Johnson,841-620-5372,kjames@example.net,Kathryntown,Gold,07-05-2025
6,Kelly Anderson,001-846-284-7230x9247,marissa47@example.org,East Alexistown,Platinum,27-12-2024
7,Jesse Ramirez,784-675-7149x74916,,Lake Julieton,Silver,27-11-2023
8,Daniel Rice,+1-337-754-7423x57140,uwilliams@example.org,West Stephenhaven,Gold,19-05-2024
9,Aaron Smith,4799152676,krussell@example.net,Allenport,Silver,22-08-2023
10,Virginia Watkins,427-426-0803,smithmichelle@example.net,Rayfurt,Gold,07-02-2024
11,Jacob Dodson,001-910-843-1037x8327,gwhite@example.com,,Silver,08-07-2025
12,Dwayne Holland,480.571.8992x81498,dbrown@example.com,Katherineton,Silver,
13,Lori Hunter,2288708699,acooley@example.com,New Taraport,Silver,01-06-2024
14,Gina Kramer,8273722603,riosmelissa@example.org,New Benjamin,Silver,09-07-2024
15,Jacob Anderson,5838509387,michele05@example.net,Contrerasburgh,Silver,12-04-2025
16,Diana Garcia,606.805.3775x4576,uorr@example.org,Oconnellport,Gold,12-10-2024
17,Charles Rivera,441.205.8374x9126,leachmichelle@example.net,Johnshire,Silver,18-02-2024
18,Mark Burton,001-200-444-5774x026,ftorres@example.com,West Mistyborough,Silver,14-01-2024
19,Ms. Joan Mcdowell,,megancompton@example.org,Wilsonside,Silver,14-12-2023
20,Samantha Burnett,(857)927-9719,angela75@example.net,East Kelli,Silver,06-11-2023
21,Keith Ramos,001-317-368-6264x7516,john88@example.org,East Christopher,Gold,29-09-2024
22,Martha Acosta,8314232930,dana97@example.org,Joseview,Silver,15-09-2023
23,Michael Diaz,971.955.0101,xblake@example.net,Owensborough,Silver,22-07-2025
24,Samantha Chavez,+1-707-623-1242x63514,isabelrobinson@example.com,Smithmouth,Silver,01-11-2024
25,Larry Rodriguez,(600)460-4171x506,jonathandavidson@example.com,New Marissa,Silver,23-11-2025
26,Randall Robinson,331.685.3074x515,lindathompson@example.org,Campbellbury,Gold,12-09-2025
27,Benjamin Blake,976-431-1848,kfry@example.com,Melissastad,Silver,04-06-2024
28,Carla Tucker,+1-337-633-3570x4803,kathleendurham@example.com,Richardshire,Silver,24-05-2025
29,Jeremy Boyle,785-899-3030x26833,ruiztabitha@example.org,Lewisview,Silver,06-08-2023
30,Sheri Charles,375.447.6449x5455,charles44@example.org,Newmanmouth,Silver,28-10-2025
31,Victoria Graham,001-451-802-1245x74931,wendy02@example.com,North Steven,Silver,18-03-2025
32,Justin Washington,+1-827-330-6976x2834,allenkenneth@example.net,New Melissamouth,Silver,22-01-2024
33,Christine Pennington,236-572-2880x201,loriburke@example.net,Gonzalezberg,Gold,18-07-2024
34,Jessica Garcia,(545)851-1905,avilabrandi@example.com,Lake William,Silver,18-12-2025
35,Wendy Thomas,668-361-3321x25291,baileyconnie@example.net,South Jonathan,Gold,18-06-2025
